step	epoch
49	0
99	0
149	0
166	0
166	0
199	1
249	1
299	1
333	1
333	1
349	2
399	2
449	2
499	2
500	2
500	2
549	3
599	3
649	3
667	3
667	3
699	4
749	4
799	4
834	4
834	4
