step	loss
12	1.7885714769363403
25	1.3309805393218994
38	1.2978326082229614
51	1.2669793367385864
64	1.2149978876113892
77	1.1933611631393433
90	1.3188765048980713
103	1.2011035680770874
116	1.17851984500885
129	1.4054629802703857
