step	train/step/loss
49	0.21158188581466675
99	0.1897067278623581
149	0.1807853728532791
199	0.1874939203262329
249	0.17171481251716614
299	0.16319572925567627
349	0.15690474212169647
399	0.15759795904159546
449	0.15126949548721313
499	0.15655338764190674
549	0.15108957886695862
599	0.14710581302642822
649	0.14153634011745453
699	0.14437419176101685
749	0.14711478352546692
799	0.14215026795864105
849	0.14105932414531708
899	0.14362899959087372
949	0.13730433583259583
999	0.13656289875507355
1049	0.13555045425891876
1099	0.14379830658435822
1149	0.13319090008735657
