step	train/accuracy
0	0.7319555282592773
1	0.7486292123794556
2	0.7668284177780151
3	0.7906122803688049
4	0.8029788136482239
5	0.8159216046333313
6	0.8228517174720764
7	0.82941734790802
8	0.8344300985336304
9	0.8385635614395142
